contentType,historyType,createdAt,updatedAt,USER_ID,ITEM_ID
1,2,2022-11-24 09:42:24.971,2022-11-27 10:57:25.426,46009,96481
1,2,2022-11-24 11:47:44.018,2022-12-18 21:48:57.877,46844,96387
1,2,2022-11-25 11:35:38.209,2022-12-16 06:19:19.871,57178,71864
1,2,2022-11-25 11:39:36.716,2022-12-04 12:12:32.166,57178,96193
1,2,2022-11-25 11:44:15.612,2022-11-26 14:25:45.999,57178,82983
1,2,2022-11-25 11:45:17.018,2022-11-26 14:26:44.240,57178,30764
1,2,2022-11-25 12:58:13.365,2022-11-27 18:07:01.931,58099,96487
1,2,2022-11-25 16:02:18.845,2022-11-25 16:02:18.845,59711,20829
1,2,2022-11-25 16:03:01.863,2022-11-25 16:03:01.863,59711,96228
1,2,2022-11-25 16:04:28.859,2022-11-25 16:04:29.679,60574,95272
1,2,2022-11-25 16:08:25.250,2022-11-25 16:08:26.494,58753,96594
1,2,2022-11-25 16:09:19.259,2022-11-25 16:09:19.259,60616,73819
1,2,2022-11-25 16:11:14.780,2022-11-25 16:11:14.780,60624,96227
1,2,2022-11-25 16:11:24.411,2022-11-25 16:11:24.411,60624,21241
1,2,2022-11-25 16:13:35.595,2022-11-25 16:13:35.595,60624,96035
1,2,2022-11-25 16:14:12.811,2022-11-25 16:14:12.811,60624,96091
1,2,2022-11-25 16:15:03.425,2022-11-25 16:15:03.425,60624,20095
1,2,2022-11-25 16:17:43.850,2022-11-25 16:17:43.850,60624,95239
1,2,2022-11-25 16:18:20.597,2022-11-25 16:18:20.597,60624,96061
1,2,2022-11-25 16:18:28.799,2022-11-25 16:18:28.799,60624,20609
1,2,2022-11-25 16:19:22.199,2022-11-25 16:19:22.199,46121,95276
1,2,2022-11-25 16:23:13.800,2022-11-25 16:23:13.800,33764,96570
1,2,2022-11-25 16:23:28.620,2022-11-25 16:23:28.620,33764,95084
1,2,2022-11-25 16:23:39.608,2022-11-25 16:23:39.608,33764,96399
1,2,2022-11-25 16:24:01.682,2022-11-25 16:24:01.682,33764,31154
1,2,2022-11-25 16:24:27.178,2022-11-25 16:24:27.178,33764,29567
1,2,2022-11-25 16:24:46.616,2022-11-25 16:24:46.616,33764,29084
1,2,2022-11-25 16:25:15.603,2022-11-25 16:25:46.553,60740,86266
2,2,2022-11-25 16:27:12.187,2022-11-25 16:27:12.187,33764,92365
1,2,2022-11-25 16:28:11.832,2022-11-25 16:28:11.832,60754,24143
1,2,2022-11-25 16:28:23.214,2022-11-25 16:28:23.214,60755,96420
1,2,2022-11-25 16:28:53.357,2022-11-25 16:28:53.357,60767,22145
1,2,2022-11-25 16:28:59.197,2022-11-25 16:28:59.197,60727,20829
1,2,2022-11-25 16:31:26.277,2022-11-25 16:31:26.277,60767,96284
1,2,2022-11-25 16:32:54.611,2022-11-25 16:32:54.611,60767,96587
4,2,2022-11-25 16:36:32.813,2022-11-25 16:36:32.813,60789,46661
1,2,2022-11-25 16:44:52.868,2022-11-25 16:44:52.868,60898,21916
1,2,2022-11-25 16:45:04.837,2022-11-25 16:45:04.837,60898,22196
1,2,2022-11-25 16:45:26.337,2022-11-25 16:45:26.337,60863,19605
1,2,2022-11-25 16:47:31.230,2022-11-25 16:47:31.230,57099,96532
1,2,2022-11-25 16:49:06.227,2022-11-25 16:49:06.227,60863,96495
2,2,2022-11-25 16:50:47.741,2022-11-25 16:50:48.376,60899,92582
1,2,2022-11-25 16:51:26.524,2022-11-25 16:51:26.524,60951,55627
2,2,2022-11-25 16:55:52.113,2022-11-25 16:55:52.113,58268,92450
1,2,2022-11-25 16:56:38.121,2022-11-25 16:56:38.121,60921,82731
1,2,2022-11-25 16:57:05.069,2022-11-25 16:57:05.069,58268,28505
1,2,2022-11-25 16:57:08.699,2022-11-25 16:57:08.699,58268,30890
1,2,2022-11-25 16:57:12.861,2022-11-25 16:57:12.861,58268,47781
