Date,總訪客,總訂閱
2023-03-05,6391,59
2023-03-04,6284,55
2023-03-03,7587,50
2023-03-02,8725,62
2023-03-01,9435,47
2023-02-28,14692,79
2023-02-27,13491,83
2023-02-26,14286,84
2023-02-25,14953,89
2023-02-24,16054,108
2023-02-23,12150,70
2023-02-22,11898,58
2023-02-21,11211,50
2023-02-20,12953,60
2023-02-19,13755,67
2023-02-18,11268,47
2023-02-17,11515,49
2023-02-16,10551,48
2023-02-15,9197,43
2023-02-14,9217,61
2023-02-13,9923,57
2023-02-12,10228,60
2023-02-11,10365,77
2023-02-10,12047,71
2023-02-09,13534,86
2023-02-08,11824,60
2023-02-07,13392,62
2023-02-06,8794,74
2023-02-05,9912,99
2023-02-04,9192,74
2023-02-03,8401,75
2023-02-02,8100,73
2023-02-01,7533,95
2023-01-31,11735,119
2023-01-30,16489,170
2023-01-29,21486,200
2023-01-28,32476,232
2023-01-27,23154,273
2023-01-26,30422,620
2023-01-25,23784,270
2023-01-24,17837,79
2023-01-23,17501,70
2023-01-22,18919,80
2023-01-21,17928,105
2023-01-20,18221,82
2023-01-19,15081,52
2023-01-18,15629,45
2023-01-17,15949,36
2023-01-16,16908,53
2023-01-15,18210,56
2023-01-14,19358,94
2023-01-13,32941,77
2023-01-12,26417,114
2023-01-11,22687,92
2023-01-10,27589,66
2023-01-09,15631,84
2023-01-08,17647,93
2023-01-07,16246,67
2023-01-06,14589,45
2023-01-05,14385,42
2023-01-04,13236,52
2023-01-03,11377,28
2023-01-02,12030,33
2023-01-01,12631,28
2022-12-31,12067,36
2022-12-30,13378,44
2022-12-29,12765,41
2022-12-28,11604,51
2022-12-27,8187,24
2022-12-26,9750,30
2022-12-25,11758,31
2022-12-24,11626,21
2022-12-23,10757,20
2022-12-22,10984,26
2022-12-21,11330,31
2022-12-20,11905,42
2022-12-19,7348,32
2022-12-18,12277,37
2022-12-17,13146,43
2022-12-16,10240,36
2022-12-15,9007,22
2022-12-14,4271,16
2022-12-13,8638,33
2022-12-12,8866,122
2022-12-11,9583,0
2022-12-10,8848,0
2022-12-09,8374,9
2022-12-08,6768,31
2022-12-07,5651,31
2022-12-06,5893,34
2022-12-05,6309,38
2022-12-04,7140,27
2022-12-03,7627,41
2022-12-02,7059,35
2022-12-01,7217,35
2022-11-30,9991,30
2022-11-29,8285,37
2022-11-28,8558,43
2022-11-27,8981,36
2022-11-26,11162,52
2022-11-25,9386,36
2022-11-24,10053,30
2022-11-23,11097,45
2022-11-22,13409,34
2022-11-21,9836,42
2022-11-20,10990,66
2022-11-19,10888,69
2022-11-18,8958,44
2022-11-17,9353,127
2022-11-16,8948,67
2022-11-15,7670,21
2022-11-14,9059,29
2022-11-13,9845,14
2022-11-12,10874,20
2022-11-11,9544,21
2022-11-10,8624,25
2022-11-09,9826,24
2022-11-08,9033,23
2022-11-07,8339,21
2022-11-06,8991,28
2022-11-05,8552,12
2022-11-04,8111,22
2022-11-03,4896,11
2022-11-02,4396,14
2022-11-01,4958,26
2022-10-31,8314,13
2022-10-30,9588,32
2022-10-29,8019,20
2022-10-28,6656,19
2022-10-27,5668,16
2022-10-26,6447,19
2022-10-25,5788,19
2022-10-24,6716,15
2022-10-23,7557,23
2022-10-22,6984,23
2022-10-21,5976,19
2022-10-20,5302,12
2022-10-19,4762,17
2022-10-18,5073,26
2022-10-17,6142,27
2022-10-16,7044,41
2022-10-15,7197,41
2022-10-14,4989,22
2022-10-13,4195,18
2022-10-12,5658,32
2022-10-11,4896,22
2022-10-10,4314,26
2022-10-09,4402,28
2022-10-08,4552,34
2022-10-07,4406,46
2022-10-06,4759,37
2022-10-05,6749,26
2022-10-04,5933,33
2022-10-03,6225,39
2022-10-02,3755,52
2022-10-01,6525,50
2022-09-30,8035,33
2022-09-29,7538,27
2022-09-28,7015,22
2022-09-27,5410,30
2022-09-26,10262,21
2022-09-25,8765,41
2022-09-24,7769,25
2022-09-23,8368,20
2022-09-22,8683,40
2022-09-21,9248,25
2022-09-20,8578,30
2022-09-19,10194,28
2022-09-18,8910,25
2022-09-17,7862,28
2022-09-16,6876,31
2022-09-15,8144,26
2022-09-14,9361,46
2022-09-13,9563,44
2022-09-12,7638,36
2022-09-11,7424,58
2022-09-10,6454,38
2022-09-09,8127,38
2022-09-08,8193,20
2022-09-07,9094,24
2022-09-06,8771,38
2022-09-05,9599,22
2022-09-04,10162,31
2022-09-03,7820,27
2022-09-02,8061,30
2022-09-01,9601,17
2022-08-31,8280,32
2022-08-30,9104,28
2022-08-29,10344,38
2022-08-28,9090,21
2022-08-27,7943,31
2022-08-26,8764,29
2022-08-25,7831,30
2022-08-24,8543,40
2022-08-23,7640,30
2022-08-22,13245,37
2022-08-21,13897,76
2022-08-20,11789,41
2022-08-19,11346,52
2022-08-18,9829,42
2022-08-17,12490,48
2022-08-16,10215,48
2022-08-15,12189,44
2022-08-14,12673,58
2022-08-13,14030,50
2022-08-12,13744,58
2022-08-11,20715,66
2022-08-10,17822,71
2022-08-09,14648,54
2022-08-08,11434,51
2022-08-07,9738,42
2022-08-06,9244,47
2022-08-05,7100,40
2022-08-04,8011,48
2022-08-03,10688,26
2022-08-02,10677,29
2022-08-01,7609,42
2022-07-31,8690,67
2022-07-30,9876,65
2022-07-29,11052,55
2022-07-28,10357,50
2022-07-27,12146,92
2022-07-26,2151,82
2022-07-25,2594,14
2022-07-24,2638,36
2022-07-23,3524,42
2022-07-22,2406,120
