Date,總訪客,總註冊,累積營收
2023-03-06,6353,372,4860951
2023-03-05,6391,352,4819831
2023-03-04,6284,300,4773371
2023-03-03,7587,320,4724667
2023-03-02,8725,456,4691466
2023-03-01,9435,425,4667733
2023-02-28,14692,458,4640814
2023-02-27,13491,395,4609488
2023-02-26,14286,488,4576972
2023-02-25,14953,517,4530671
2023-02-24,16054,526,4498602
2023-02-23,12150,460,4450700
2023-02-22,11898,414,4358713
2023-02-21,11211,366,4339012
2023-02-20,12953,439,4321507
2023-02-19,13755,469,4296868
2023-02-18,11268,360,4275630
2023-02-17,11515,420,4250399
2023-02-16,10551,359,4221127
2023-02-15,9197,333,4195147
2023-02-14,9217,384,4166322
2023-02-13,9923,388,4129167
2023-02-12,10228,406,4091909
2023-02-11,10365,425,4050163
2023-02-10,12047,430,4017351
2023-02-09,13534,425,3971567
2023-02-08,11824,405,3928773
2023-02-07,13392,418,3900546
2023-02-06,8794,495,3863953
2023-02-05,9912,532,3810848
2023-02-04,9192,457,3760199
2023-02-03,8401,440,3697034
2023-02-02,8100,476,3622510
2023-02-01,7533,504,3507763
2023-01-31,11735,563,3457570
2023-01-30,16489,789,3432146
2023-01-29,21486,863,3389017
2023-01-28,32476,939,3347872
2023-01-27,23154,1197,3305402
2023-01-26,30422,2356,3257184
2023-01-25,23784,1263,3193146
2023-01-24,17837,411,3146384
2023-01-23,17501,524,3087067
2023-01-22,18919,769,3051326
2023-01-21,17928,485,3029339
2023-01-20,18221,433,3000771
2023-01-19,15081,317,2964111
2023-01-18,15629,301,2917796
2023-01-17,15949,319,2876204
2023-01-16,16908,318,2848391
2023-01-15,18210,401,2813997
2023-01-14,19358,495,2785139
2023-01-13,32941,651,2746746
2023-01-12,26417,6683,2725215
2023-01-11,22687,5697,2698039
2023-01-10,27589,12280,2659585
2023-01-09,15631,811,2635698
2023-01-08,17647,947,2605613
2023-01-07,16246,787,2575396
2023-01-06,14589,656,2553261
2023-01-05,14385,673,2532775
2023-01-04,13236,607,2510791
2023-01-03,11377,480,2466977
2023-01-02,12030,541,2457895
2023-01-01,12631,515,2443531
2022-12-31,12067,399,2428771
2022-12-30,13378,422,2405035
2022-12-29,12765,356,2372497
2022-12-28,11604,387,2355747
2022-12-27,8187,331,2331966
2022-12-26,9750,383,2302999
2022-12-25,11758,422,2270553
2022-12-24,11626,395,2215235
2022-12-23,10757,372,2191910
2022-12-22,10984,342,2182040
2022-12-21,11330,366,2172363
2022-12-20,11905,400,2160847
2022-12-19,7348,253,2136519
2022-12-18,12277,468,2117676
2022-12-17,13146,549,2095840
