first_week,cohort_size,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29
2022-07-18T00:00:00.000+0000,164,100.00%,100.00%,11.59%,11.59%,11.59%,7.93%,3.05%,3.05%,3.05%,3.05%,3.05%,3.05%,3.05%,3.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2022-07-25T00:00:00.000+0000,523,100.00%,100.00%,26.77%,26.77%,26.77%,7.84%,2.29%,2.29%,2.29%,2.29%,2.29%,2.29%,2.29%,2.29%,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,0.00%
2022-08-01T00:00:00.000+0000,371,100.00%,100.00%,34.77%,34.77%,34.77%,14.56%,5.12%,5.12%,5.12%,5.12%,5.12%,5.12%,5.12%,4.85%,1.62%,1.62%,1.62%,1.62%,1.62%,1.62%,1.62%,1.62%,1.62%,1.62%,1.62%,1.62%,1.62%,1.62%,0.00%,0.00%
2022-08-08T00:00:00.000+0000,479,100.00%,100.00%,25.89%,25.89%,25.89%,15.66%,3.76%,3.76%,3.76%,3.76%,3.76%,3.76%,3.76%,3.76%,1.46%,1.46%,1.46%,1.46%,1.46%,1.46%,1.46%,1.46%,1.46%,1.46%,1.46%,1.46%,1.46%,0.00%,0.00%,0.00%
2022-08-15T00:00:00.000+0000,539,100.00%,100.00%,44.71%,44.71%,44.71%,16.70%,4.27%,4.27%,4.27%,4.27%,4.27%,4.27%,4.27%,3.90%,1.30%,1.30%,1.30%,1.30%,1.30%,1.30%,1.30%,1.30%,1.30%,1.30%,1.30%,1.30%,0.00%,0.00%,0.00%,0.00%
2022-08-22T00:00:00.000+0000,450,100.00%,100.00%,57.33%,57.33%,57.33%,26.44%,2.22%,2.22%,2.22%,2.22%,2.22%,2.22%,2.22%,2.00%,0.67%,0.67%,0.67%,0.67%,0.67%,0.67%,0.67%,0.67%,0.67%,0.67%,0.67%,0.00%,0.00%,0.00%,0.00%,0.00%
2022-08-29T00:00:00.000+0000,376,100.00%,100.00%,50.27%,50.27%,50.27%,14.89%,2.66%,2.66%,2.66%,2.66%,2.66%,2.66%,2.66%,1.86%,1.06%,0.80%,0.80%,0.80%,0.80%,0.80%,0.80%,0.80%,0.80%,0.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2022-09-05T00:00:00.000+0000,392,100.00%,100.00%,48.21%,48.21%,48.21%,19.39%,4.85%,4.85%,4.85%,4.85%,4.85%,4.85%,4.85%,4.85%,2.04%,2.04%,2.04%,2.04%,2.04%,2.04%,2.04%,2.04%,2.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2022-09-12T00:00:00.000+0000,465,100.00%,100.00%,55.27%,55.27%,55.27%,19.78%,2.58%,2.58%,2.58%,2.58%,2.58%,2.58%,2.58%,2.15%,0.65%,0.65%,0.65%,0.65%,0.65%,0.65%,0.65%,0.65%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2022-09-19T00:00:00.000+0000,428,100.00%,100.00%,59.35%,59.35%,59.35%,21.50%,2.10%,2.10%,2.10%,2.10%,2.10%,2.10%,2.10%,1.64%,0.70%,0.70%,0.70%,0.70%,0.70%,0.70%,0.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
